InductedToHallOfFame,FullPlayerName,YearsPlayed,AB,R,H,2B,3B,HR,RBI,SB,BattingAverage,SluggingPct,AllStarAppearances,MVPs,TripleCrowns,GoldGloves,MajorLeaguePlayerOfTheYearAwards,TB,LastYearPlayed,ID
TRUE,Harry Heilmann,17,7787,1291,2660,542,151,183,1539,113,0.34159496596892258,0.52048285604212152,0,0,0,0,0,4929,1932,1758
TRUE,Bill Terry,14,6428,1120,2193,373,112,154,1078,56,0.34116365899191042,0.50591163658991911,3,0,0,0,0,3891,1936,1968
TRUE,Mickey Cochrane,13,5169,1041,1652,333,64,119,832,64,0.3195976010833817,0.47784871348423291,2,2,0,0,0,2986,1937,1977
TRUE,Gabby Hartnett,20,6432,867,1912,396,64,236,1179,28,0.29726368159203981,0.48880597014925375,6,1,0,0,0,3840,1941,2181
TRUE,Jimmie Foxx,20,8134,1751,2646,458,125,534,1922,87,0.3253012048192771,0.60929432013769358,9,3,1,0,0,6073,1945,2436
TRUE,Joe Cronin,20,7579,1233,2285,515,118,170,1424,87,0.30149096186832036,0.46787175089061878,7,0,0,0,0,4349,1945,2517
TRUE,Paul Waner,20,9459,1627,3152,605,191,113,1309,104,0.33322761391267575,0.47341156570461995,4,1,0,0,0,5387,1945,2523
TRUE,Ralph Kiner,10,5205,971,1451,216,39,369,1015,22,0.27877041306436123,0.54793467819404418,6,0,0,0,0,3476,1955,3156
TRUE,Ted Williams,19,7706,1798,2654,525,71,521,1839,24,0.34440695561899815,0.6337918505060991,17,2,2,0,0,6001,1960,3351
TRUE,Yogi Berra,19,7555,1175,2150,321,49,358,1430,30,0.28457974851091994,0.48219722038385171,15,3,0,0,0,4371,1965,3633
TRUE,Ernie Banks,19,9421,1305,2583,407,90,512,1636,50,0.27417471605986626,0.49952234370024418,11,2,0,1,0,5715,1971,3954
TRUE,Willie Mays,22,10881,2062,3283,523,140,660,1903,338,0.30171859204117268,0.55748552522746075,20,2,0,12,0,7389,1973,4107
TRUE,Al Kaline,22,10116,1622,3007,498,75,399,1583,137,0.2972518782127323,0.47963621984974297,15,0,0,10,0,5824,1974,4194
TRUE,Hank Aaron,23,12364,2174,3771,624,98,755,2297,240,0.30499838240051763,0.55451310255580721,21,1,0,3,0,8333,1976,4281
TRUE,Brooks Robinson,23,10654,1232,2848,482,68,268,1357,28,0.26731743945935799,0.40078843626806837,15,1,0,16,0,5088,1977,4335
TRUE,Lou Brock,19,10332,1610,3023,486,141,149,900,938,0.29258614014711576,0.41018195896244675,6,0,0,0,0,5014,1979,4470
TRUE,Rod Carew,19,9315,1424,3053,445,112,92,1015,353,0.32775093934514221,0.42920021470746106,18,1,0,0,0,4647,1985,4980
TRUE,Tony Perez,23,9778,1272,2732,505,79,379,1652,49,0.27940274084679895,0.46348946614849657,7,0,0,0,0,5495,1986,5037
TRUE,Mike Schmidt,18,8352,1506,2234,408,59,548,1595,174,0.2674808429118774,0.5272988505747126,12,3,0,10,0,5419,1989,5292
TRUE,Carlton Fisk,24,8756,1276,2356,421,47,376,1330,128,0.2690726359068068,0.45671539515760617,11,0,0,1,0,4843,1993,5553
TRUE,George Brett,21,10349,1583,3154,665,137,317,1596,201,0.30476374528939998,0.48739008599864719,13,1,0,1,0,6163,1993,5592
TRUE,Kirby Puckett,12,7244,1071,2304,414,57,207,1085,134,0.31805632247377141,0.47667034787410267,10,0,0,6,0,4131,1995,5721
TRUE,Ozzie Smith,19,9396,1257,2460,402,69,28,793,580,0.26181353767560661,0.32822477650063858,15,0,0,13,0,3583,1996,5826
TRUE,Cal Ripken,21,11551,1647,3184,603,44,431,1695,36,0.27564713011860442,0.44740715089602634,19,2,0,2,0,6246,2001,6264
TRUE,Barry Larkin,19,7937,1329,2340,441,76,198,960,379,0.29482172105329468,0.44437444878417537,12,1,0,3,0,4242,2004,6486
TRUE,Sammy Sosa,18,8813,1475,2408,379,45,609,1667,234,0.27323272438443208,0.53375694996028589,7,1,0,0,0,5737,2007,6747
TRUE,Frank Thomas,19,8199,1494,2468,495,12,521,1704,32,0.30101231857543603,0.55494572508842532,5,2,0,0,0,5578,2008,6870
TRUE,Vladimir Guerrero,16,8155,1328,2590,477,46,449,1496,181,0.31759656652360513,0.55254445125689766,9,1,0,0,0,5478,2011,7122
TRUE,Derek Jeter,20,11195,1923,3465,544,66,260,1311,358,0.30951317552478785,0.43957123715944618,14,0,0,5,0,5791,2014,7701
TRUE,Alex Rodriguez,22,10566,2021,3115,548,31,696,2086,329,0.29481355290554606,0.55016089343176222,14,3,0,2,0,7088,2016,8178
TRUE,Ichiro Suzuki,17,9885,1415,3080,362,96,117,780,509,0.31158320687910979,0.40313606474456248,10,1,0,10,0,4560,2017,8214
FALSE,Lou Schiappacasse,1,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1902,3
FALSE,Chub Aubrey,1,325,26,69,8,2,0,27,7,0.21230769230769231,0.24923076923076926,0,0,0,0,0,91,1903,6
FALSE,Pep Clark,1,65,7,20,4,2,0,9,5,0.30769230769230771,0.43076923076923074,0,0,0,0,0,34,1903,9
FALSE,Tom Stankard,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1904,12
FALSE,Bill Schwartz,1,86,5,13,2,0,0,0,4,0.15116279069767441,0.1744186046511628,0,0,0,0,0,17,1904,15
FALSE,Dutch Rudolph,2,4,0,1,0,0,0,0,0,0.25,0.25,0,0,0,0,0,1,1904,18
FALSE,Art McGovern,1,44,1,5,1,0,0,1,0,0.11363636363636363,0.13636363636363635,0,0,0,0,0,7,1905,21
FALSE,Emil Leber,1,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1905,24
FALSE,Steamer Flanagan,1,25,7,7,1,1,0,3,3,0.28000000000000003,0.40000000000000002,0,0,0,0,0,12,1905,27
FALSE,Frank Jude,1,308,31,64,6,4,1,31,7,0.20779220779220781,0.26298701298701299,0,0,0,0,0,92,1906,30
FALSE,Chet Spencer,1,27,1,4,1,0,0,0,0,0.14814814814814814,0.18518518518518517,0,0,0,0,0,6,1906,33
FALSE,Gus Hetling,1,7,0,1,0,0,0,0,0,0.14285714285714285,0.14285714285714285,0,0,0,0,0,1,1906,36
FALSE,Harry Armbruster,1,265,40,63,6,3,2,24,13,0.23773584905660375,0.30566037735849055,0,0,0,0,0,92,1906,39
FALSE,Jack Cameron,1,61,3,11,0,0,0,4,0,0.18032786885245899,0.18032786885245899,0,0,0,0,0,11,1906,42
FALSE,Ducky Holmes,1,27,2,5,0,0,0,2,0,0.18518518518518517,0.18518518518518517,0,0,0,0,0,5,1906,45
FALSE,Lee Quillin,2,160,18,32,5,0,0,14,9,0.20000000000000001,0.23125000000000001,0,0,0,0,0,42,1907,48
FALSE,Kid Butler,1,59,4,13,2,0,0,6,1,0.22033898305084745,0.25423728813559321,0,0,0,0,0,17,1907,51
FALSE,Harry Curtis,1,9,2,2,0,0,0,1,2,0.22222222222222224,0.22222222222222224,0,0,0,0,0,2,1907,54
FALSE,Bill McCarthy,2,11,1,1,0,0,0,0,0,9.0909090909090912E-2,9.0909090909090912E-2,0,0,0,0,0,1,1907,57
FALSE,Bob Peterson,2,131,11,25,1,1,1,9,1,0.19083969465648856,0.23664122137404581,0,0,0,0,0,34,1907,60
FALSE,Pete Lister,1,65,5,18,2,0,0,4,2,0.27692307692307694,0.30769230769230771,0,0,0,0,0,22,1907,63
FALSE,Marc Campbell,1,4,0,1,0,0,0,1,0,0.25,0.25,0,0,0,0,0,1,1907,66
FALSE,Frank Manush,1,77,6,12,2,1,0,0,2,0.15584415584415584,0.20779220779220781,0,0,0,0,0,19,1908,69
FALSE,Bill McGilvray,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1908,72
FALSE,Jack Hannifin,3,439,50,94,13,6,3,40,14,0.21412300683371296,0.29157175398633256,0,0,0,0,0,150,1908,75
FALSE,Hunky Shaw,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1908,78
FALSE,Jim Kane,1,145,16,35,3,3,0,22,5,0.2413793103448276,0.30344827586206896,0,0,0,0,0,50,1908,81
FALSE,Phil Lewis,4,1775,146,429,33,13,4,130,55,0.24169014084507043,0.28169014084507044,0,0,0,0,0,550,1908,84
FALSE,Patsy O'Rourke,1,164,8,32,4,2,0,16,2,0.1951219512195122,0.24390243902439024,0,0,0,0,0,46,1908,87
FALSE,Queenie O'Rourke,1,108,5,25,1,0,0,3,4,0.23148148148148148,0.24074074074074076,0,0,0,0,0,27,1908,90
FALSE,Clare Patterson,1,8,0,1,0,0,0,1,0,0.125,0.125,0,0,0,0,0,1,1909,93
FALSE,Red Downey,1,78,7,20,1,0,0,8,4,0.25641025641025644,0.26923076923076927,0,0,0,0,0,22,1909,96
FALSE,Wib Smith,1,42,3,8,0,0,0,2,0,0.19047619047619047,0.19047619047619047,0,0,0,0,0,8,1909,99
FALSE,Fred Stem,2,317,22,71,2,4,0,14,6,0.22397476340694006,0.25552050473186122,0,0,0,0,0,87,1909,102
FALSE,Si Pauxtis,1,8,2,1,0,0,0,0,0,0.125,0.125,0,0,0,0,0,1,1909,105
FALSE,Denny Sullivan,4,925,106,221,25,8,1,51,30,0.23891891891891892,0.2864864864864865,0,0,0,0,0,299,1909,108
FALSE,Tom Catterson,2,86,5,17,1,1,1,3,0,0.19767441860465115,0.26744186046511625,0,0,0,0,0,26,1909,111
FALSE,Eddie Tiemeyer,3,19,5,5,1,0,0,0,0,0.26315789473684209,0.31578947368421051,0,0,0,0,0,7,1909,114
FALSE,Jack Wanner,1,8,0,1,0,0,0,0,1,0.125,0.125,0,0,0,0,0,1,1909,117
FALSE,Bert James,1,21,1,6,0,0,0,0,1,0.2857142857142857,0.2857142857142857,0,0,0,0,0,6,1909,120
FALSE,Bill Shipke,4,552,59,110,11,10,1,29,21,0.19927536231884058,0.2608695652173913,0,0,0,0,0,166,1909,123
FALSE,Harry Redmond,1,19,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1909,126
FALSE,Chick Autry,2,257,22,50,6,0,0,17,6,0.19455252918287938,0.21789883268482491,0,0,0,0,0,62,1909,129
FALSE,Tommy Madden,2,16,1,4,0,0,0,0,0,0.25,0.25,0,0,0,0,0,4,1910,132
FALSE,Ernie Lush,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1910,135
FALSE,Doc Ralston,1,73,4,15,1,0,0,3,2,0.20547945205479451,0.21917808219178081,0,0,0,0,0,17,1910,138
FALSE,Joe Ward,3,465,47,110,18,9,0,47,12,0.23655913978494622,0.31397849462365596,0,0,0,0,0,173,1910,141
FALSE,Pat Donahue,3,307,24,65,6,1,3,35,3,0.21172638436482083,0.26710097719869708,0,0,0,0,0,92,1910,144
FALSE,Ralph Pond,1,4,0,1,0,0,0,0,1,0.25,0.25,0,0,0,0,0,1,1910,147
FALSE,Ned Crompton,2,65,7,10,2,1,0,2,1,0.15384615384615385,0.21538461538461537,0,0,0,0,0,17,1910,150
FALSE,Ed Hearne,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1910,153
FALSE,Bill Cooney,2,22,2,6,0,0,0,1,0,0.27272727272727271,0.27272727272727271,0,0,0,0,0,6,1910,156
FALSE,Heinie Heitmuller,2,321,47,87,11,10,0,22,13,0.2710280373831776,0.36760124610591904,0,0,0,0,0,139,1910,159
FALSE,Jim Rutherford,1,2,0,1,0,0,0,0,0,0.5,0.5,0,0,0,0,0,1,1910,162
FALSE,Mickey Corcoran,1,46,3,10,3,0,0,7,0,0.21739130434782611,0.28260869565217395,0,0,0,0,0,16,1910,165
FALSE,Joe McDonald,1,32,4,5,0,0,0,1,0,0.15625,0.15625,0,0,0,0,0,5,1910,168
FALSE,Rabbit Robinson,3,700,71,156,23,14,1,58,30,0.22285714285714286,0.29999999999999999,0,0,0,0,0,248,1910,171
FALSE,Willis Cole,2,245,23,53,9,4,0,18,3,0.21632653061224488,0.2857142857142857,0,0,0,0,0,83,1910,174
FALSE,George Wheeler,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1910,177
FALSE,Ody Abbott,1,70,2,13,2,1,0,6,3,0.18571428571428572,0.24285714285714283,0,0,0,0,0,20,1910,180
FALSE,Walter Lonergan,1,26,2,7,0,0,0,1,1,0.26923076923076927,0.26923076923076927,0,0,0,0,0,7,1911,183
FALSE,Paul Meloan,2,431,53,109,17,8,3,38,11,0.25290023201856149,0.35034802784222735,0,0,0,0,0,179,1911,186
FALSE,Jack Mills,1,17,5,5,0,0,0,1,1,0.29411764705882354,0.29411764705882354,0,0,0,0,0,5,1911,189
FALSE,Ralph Kreitz,1,17,0,4,1,0,0,0,0,0.23529411764705885,0.29411764705882354,0,0,0,0,0,6,1911,192
FALSE,Bunny Madden,3,143,10,41,4,1,0,11,0,0.28671328671328672,0.32867132867132864,0,0,0,0,0,52,1911,195
FALSE,Harry Welchonce,1,66,9,14,4,0,0,6,0,0.2121212121212121,0.27272727272727271,0,0,0,0,0,22,1911,198
FALSE,Ed Wilkinson,1,13,2,3,0,0,0,1,0,0.23076923076923075,0.23076923076923075,0,0,0,0,0,3,1911,201
FALSE,Clarence Lehr,1,27,2,4,0,0,0,2,0,0.14814814814814814,0.14814814814814814,0,0,0,0,0,4,1911,204
